Word,IPA,Translation,Meaning,Meaning_Translation,Example,Example_Translation,Image,Sound,Sound_Meaning,Sound_Example
repetitive,rɪˈpetətɪv,重複的,"When something is repetitive, it is repeated many times and becomes boring.",「重複的」事情多次出現而令人厭煩。,Working on an assembly line making cars every day is a repetitive job.,每天在汽車裝配線上工作是重複性的工作。,05_3095.jpg,05_3095.mp3,05_3095_meaning.mp3,05_3095_example.mp3
reproductive,ˌriːprəˈdʌktɪv,生殖的,"If something is reproductive, it is a living thing which can produce young.",「生殖的」生物能繁殖後代。,The reproductive system of a plant is simple.,植物的生殖系統很簡單。,05_3096.jpg,05_3096.mp3,05_3096_meaning.mp3,05_3096_example.mp3
temperate,ˈtempərət,溫和的,"When a place is temperate, it never gets too hot or cold.",「溫和的」氣候不會太熱或太冷。,"In Peru, the weather is temperate and rarely gets too hot or cold.",秘魯氣候溫和，很少太熱或太冷。,05_3097.jpg,05_3097.mp3,05_3097_meaning.mp3,05_3097_example.mp3
tolerance,ˈtɑːlərəns,容忍,Tolerance is the ability to accept something unfavorable or to allow the freedom of choice for others.,「容忍」是接受不利事物或允許他人自由選擇的能力。,Boxers have a high tolerance for pain.,拳擊手對疼痛的耐受力很高。,05_3098.jpg,05_3098.mp3,05_3098_meaning.mp3,05_3098_example.mp3
undergo,ˌʌndərˈɡəʊ,經歷,To undergo an action means to have it happen to you.,「經歷」某事就是親身承受它。,The cancer patient undergoes treatments twice a week.,癌症患者每週接受兩次治療。,05_3099.jpg,05_3099.mp3,05_3099_meaning.mp3,05_3099_example.mp3
vulnerable,ˈvʌlnərəbl,脆弱的,"When someone is vulnerable, they are weak and without protection.",「脆弱的」人軟弱且缺乏保護。,He felt very vulnerable when he was stranded in the desert.,他在沙漠中受困時感到非常脆弱。,05_3100.jpg,05_3100.mp3,05_3100_meaning.mp3,05_3100_example.mp3
archaic,ɑːrˈkeɪɪk,古老的,"If something is archaic, it is very old or outdated.",「古老的」事物非常陳舊或過時。,"To be competitive, we must update our archaic equipment.",為了保持競爭力，我們必須更新過時的設備。,06_3101.jpg,06_3101.mp3,06_3101_meaning.mp3,06_3101_example.mp3
brass,bræs,黃銅,Brass is a metal that is used to make musical instruments and ornaments.,「黃銅」是用來製作樂器與裝飾品的金屬。,Brass is used to make musical instruments like trumpets.,黃銅用來製作小號等樂器。,06_3102.jpg,06_3102.mp3,06_3102_meaning.mp3,06_3102_example.mp3
capitalism,ˈkæpɪtəlɪzəm,資本主義,Capitalism is an economic system where private companies make goods for profit.,「資本主義」是私人企業為利潤生產商品的經濟制度。,Most economies in the world today are based on capitalism.,當今世界大多數經濟體都以資本主義為基礎。,06_3103.jpg,06_3103.mp3,06_3103_meaning.mp3,06_3103_example.mp3
component,kəmˈpəʊnənt,組件,A component is a part of a larger machine.,「組件」是大型機器的一部分。,"Computers have many different components, so they are complicated to build.",電腦有許多不同零件，因此組裝起來很複雜。,06_3104.jpg,06_3104.mp3,06_3104_meaning.mp3,06_3104_example.mp3
dependence,dɪˈpendəns,依賴,Dependence is a situation in which somebody relies on something else.,「依賴」是某人依靠他物的狀態。,Young children have a dependence on their parents.,幼兒依賴父母。,06_3105.jpg,06_3105.mp3,06_3105_meaning.mp3,06_3105_example.mp3
diminish,dɪˈmɪnɪʃ,減少,To diminish means to reduce or get smaller.,「減少」就是變小或降低。,"As the economy got worse, my savings diminished.",隨著經濟惡化，我的存款減少。,06_3106.jpg,06_3106.mp3,06_3106_meaning.mp3,06_3106_example.mp3
drawback,ˈdrɔːbæk,缺點,A drawback is a disadvantage.,「缺點」就是不利之處。,The drawback of having a car is that it is very expensive to maintain.,有車的缺點是維護費用很高。,06_3107.jpg,06_3107.mp3,06_3107_meaning.mp3,06_3107_example.mp3
impose,ɪmˈpəʊz,強加,To impose means to interrupt or force your ideas on other people.,「強加」就是把自己的想法強行施加於人。,He imposes on his wife every morning by expecting her to make his breakfast.,他每天早上都指望妻子做早餐，對她造成負擔。,06_3108.jpg,06_3108.mp3,06_3108_meaning.mp3,06_3108_example.mp3
industry,ˈɪndəstri,工業,Industry is a kind of business that produces services or things for sale.,「工業」是生產服務或商品以銷售的產業。,The tourist industry is doing well all around the world.,旅遊業在全球蓬勃發展。,06_3109.jpg,06_3109.mp3,06_3109_meaning.mp3,06_3109_example.mp3
managerial,ˌmænəˈdʒɪriəl,管理的,Managerial describes something related to a manager or management.,「管理的」事物與經理或管理相關。,Nancy has a managerial position at the bank.,南西在銀行擔任管理職。,06_3110.jpg,06_3110.mp3,06_3110_meaning.mp3,06_3110_example.mp3
medieval,ˌmediˈiːvl,中世紀的,"If something is medieval, it comes from the period between 650 and 1500 CE.",「中世紀的」事物源自公元650至1500年間。,We visited a castle that was built during medieval times.,我們參觀了一座中世紀建造的城堡。,06_3111.jpg,06_3111.mp3,06_3111_meaning.mp3,06_3111_example.mp3
obsolete,ˌɑːbsəˈliːt,過時的,"If something is obsolete, it is not used anymore because something better exists.",「淘汰的」事物因有更好的替代品而不再使用。,"Since computers became inexpensive, typewriters have become obsolete.",自從電腦變得便宜後，打字機就過時了。,06_3112.jpg,06_3112.mp3,06_3112_meaning.mp3,06_3112_example.mp3
oriented,ɔːrientɪd,朝向的,"When you are oriented towards something, you are faced in that direction.",「朝向」某物就是面向那個方向。,He is living a money-oriented lifestyle.,他過著以金錢為導向的生活。,06_3113.jpg,06_3113.mp3,06_3113_meaning.mp3,06_3113_example.mp3
peninsula,pəˈnɪnsələ,半島,A peninsula is a large piece of land that is surrounded by the sea on three sides.,「半島」是三面環海的大片陸地。,The state of Florida is an example of a peninsula.,佛羅里達州是半島的例子。,06_3114.jpg,06_3114.mp3,06_3114_meaning.mp3,06_3114_example.mp3
prestige,preˈstiːʒ,聲望,"If a person has prestige, people admire or respect them.",「聲望」是受人欽佩或尊敬的地位。,The young actress gained much prestige after she won an award.,那位年輕女演員獲獎後聲望大增。,06_3115.jpg,06_3115.mp3,06_3115_meaning.mp3,06_3115_example.mp3
proportion,prəˈpɔːrʃn,比例,A proportion is an amount that shows the link between the parts and the whole.,「比例」是顯示部分與整體關係的數量。,Only a small proportion of the people in this town actually work here.,這個鎮上只有少數人真的在此工作。,06_3116.jpg,06_3116.mp3,06_3116_meaning.mp3,06_3116_example.mp3
radical,ˈrædɪkl,激進的,"If something is radical, it is very new or different.",「激進的」事物非常新穎或不同。,The president is planning to make some radical changes to the law.,總統計畫對法律進行一些激進的改革。,06_3117.jpg,06_3117.mp3,06_3117_meaning.mp3,06_3117_example.mp3
refute,rɪˈfjuːt,駁斥,To refute something means to prove that it is false or incorrect.,「駁斥」就是證明某事錯誤。,The bank manager has refuted the claims that he lied to his customers.,銀行經理否認了他對客戶說謊的指控。,06_3118.jpg,06_3118.mp3,06_3118_meaning.mp3,06_3118_example.mp3
spectacular,spekˈtækjələr,壯觀的,"If something is spectacular, it looks or sounds very impressive.",「壯觀的」事物看起來或聽起來令人驚嘆。,There was a spectacular fireworks display in the park at New Year.,新年時公園有場壯觀的煙火秀。,06_3119.jpg,06_3119.mp3,06_3119_meaning.mp3,06_3119_example.mp3
weave,wiːv,編織,To weave means to make cloth using horizontal and vertical threads.,「編織」就是用橫豎線紗製成布料。,We saw a woman weave a blanket on our vacation to South America.,我們在南美度假時，看到一位婦女在織毯子。,06_3120.jpg,06_3120.mp3,06_3120_meaning.mp3,06_3120_example.mp3
accountant,əˈkaʊntənt,會計師,An accountant is a person whose job is to keep financial accounts for a business.,「會計師」是負責企業財務帳目的人。,The accountant helped us keep track of our spending.,會計師幫我們記錄支出。,07_3121.jpg,07_3121.mp3,07_3121_meaning.mp3,07_3121_example.mp3
capitalist,ˈkæpɪtəlɪst,資本家,A capitalist is a business person who invests in trade and industry for profit.,「資本家」是投資貿易與工業以獲利的商人。,The capitalist invested in a factory that made wheat into cereal.,那位資本家投資了一家將小麥製成穀物的工廠。,07_3122.jpg,07_3122.mp3,07_3122_meaning.mp3,07_3122_example.mp3
contempt,kənˈtempt,輕蔑,Contempt is the feeling of having no respect for something.,「蔑視」是對某事毫無尊重的感覺。,The judge had contempt for the wicked criminal.,法官鄙視那個邪惡的罪犯。,07_3123.jpg,07_3123.mp3,07_3123_meaning.mp3,07_3123_example.mp3
crop,krɑːp,農作物,A crop is something produced by the land.,「農作物」是土地生產的東西。,I had a good crop of onions this year.,我今年收成不錯，洋蔥大豐收。,07_3124.jpg,07_3124.mp3,07_3124_meaning.mp3,07_3124_example.mp3
dedicate,ˈdedɪkeɪt,致力於,To dedicate oneself to something means to put a lot of time and effort into it.,「致力於」某事就是投入大量時間與努力。,The nun dedicated herself to helping people in need.,那位修女致力於幫助有需要的人。,07_3125.jpg,07_3125.mp3,07_3125_meaning.mp3,07_3125_example.mp3
ditch,dɪtʃ,溝渠,A ditch is a narrow hole cut into the ground by a road or a field.,「溝渠」是道路或田邊挖出的狹長凹槽。,"When the car slid off of the road, it fell into the ditch.",車子滑出路面，掉進溝渠裡。,07_3126.jpg,07_3126.mp3,07_3126_meaning.mp3,07_3126_example.mp3
enterprise,ˈentərpraɪz,企業,An enterprise is a company or business.,「企業」是公司或商業組織。,My father owns an advertising enterprise.,我父親擁有一家廣告公司。,07_3127.jpg,07_3127.mp3,07_3127_meaning.mp3,07_3127_example.mp3
finance,faɪˈnæns,金融,To finance someone or something means to provide money for them.,「資助」某人或某事就是提供資金。,The government financed the scientist’s experiments with new weapons.,政府資助了科學家的新武器實驗。,07_3128.jpg,07_3128.mp3,07_3128_meaning.mp3,07_3128_example.mp3
indifferent,ɪnˈdɪfrənt,漠不關心的,"When someone is indifferent toward something, they have a lack of interest in it.",「冷漠的」人對某事缺乏興趣。,Lisa is indifferent toward school. She doesn’t care what her final grades are.,麗莎對學校漠不關心，不在乎期末成績如何。,07_3129.jpg,07_3129.mp3,07_3129_meaning.mp3,07_3129_example.mp3
irrigate,ˈɪrɪɡeɪt,灌溉,To irrigate means to supply water to land so that crops can grow.,「灌溉」就是供水給土地以種植作物。,"In dry climates, it is important to irrigate fields of crops.",在乾燥氣候中，灌溉農田很重要。,07_3130.jpg,07_3130.mp3,07_3130_meaning.mp3,07_3130_example.mp3
maximize,ˈmæksɪmaɪz,最大化,"To maximize something is to make it as great as possible in amount, size, or importance.",「最大化」就是使某物在數量、規模或重要性上達到最大。,You should exercise regularly to maximize a healthy lifestyle.,你應該定期運動，以最大化健康生活。,07_3131.jpg,07_3131.mp3,07_3131_meaning.mp3,07_3131_example.mp3
monetary,ˈmɑːnɪteri,貨幣的,"When something is monetary, it relates to money.",「貨幣的」事物與金錢有關。,A strong monetary policy is important for a country to be successful.,強有力的貨幣政策對國家成功很重要。,07_3132.jpg,07_3132.mp3,07_3132_meaning.mp3,07_3132_example.mp3
precaution,prɪˈkɔːʃn,預防措施,A precaution is an action that is meant to stop something bad from happening.,「預防措施」是防止壞事發生的行動。,"As a precaution, you should put on a heavy coat before going out in cold weather.",作為預防措施，寒冷天氣外出前應穿上厚外套。,07_3133.jpg,07_3133.mp3,07_3133_meaning.mp3,07_3133_example.mp3
preliminary,prɪˈlɪmɪneri,初步的,Preliminary describes something that happens before a more important event.,「初步的」事情發生在更重要事件之前。,The runners must do well in the preliminary races to qualify for the final race.,選手必須在預賽中表現良好，才能晉級決賽。,07_3134.jpg,07_3134.mp3,07_3134_meaning.mp3,07_3134_example.mp3
saturate,ˈsætʃəreɪt,浸透,To saturate something means to completely soak it with a liquid.,「浸透」某物就是使其完全被液體滲透。,The sponge was saturated with soapy water and dripped all over the floor.,海綿吸滿肥皂水，滴得到處都是。,07_3135.jpg,07_3135.mp3,07_3135_meaning.mp3,07_3135_example.mp3
simplicity,sɪmˈplɪsəti,簡單,The simplicity of something is the fact that it is easy to do or understand.,「簡單性」就是容易做或理解。,We were able to find the house thanks to the simplicity of the directions.,多虧指示很簡單，我們順利找到了那棟房子。,07_3136.jpg,07_3136.mp3,07_3136_meaning.mp3,07_3136_example.mp3
sow,səʊ,播種,To sow seeds means to plant them in the ground.,「播種」就是把種子種入土中。,He always sows his garden seeds in the springtime.,他總是在春天播種。,07_3137.jpg,07_3137.mp3,07_3137_meaning.mp3,07_3137_example.mp3
spade,speɪd,鏟子,A spade is a tool used for digging.,「鏟子」是用來挖掘的工具。,The gardener used her spade to make a hole for the new plant.,園丁用鏟子為新植物挖洞。,07_3138.jpg,07_3138.mp3,07_3138_meaning.mp3,07_3138_example.mp3
tomato,təˈmeɪtəʊ,番茄,"A tomato is a round red fruit, but usually eaten as a vegetable. It’s often used in salads or pasta sauces.",「番茄」是圓形紅色水果，但通常當蔬菜食用，常用於沙拉或義大利麵醬。,I like tomato sandwiches.,我喜歡番茄三明治。,07_3139.jpg,07_3139.mp3,07_3139_meaning.mp3,07_3139_example.mp3
upcoming,ˈʌpkʌmɪŋ,即將到來的,"When something is upcoming, that means it will happen in the near future.",「即將到來的」事情會在不久的將來發生。,The kids were worried about their upcoming exam.,孩子們擔心即將到來的考試。,07_3140.jpg,07_3140.mp3,07_3140_meaning.mp3,07_3140_example.mp3
anthropology,ˌænθrəˈpɑːlədʒi,人類學,"Anthropology is the study of people, society, and culture.",「人類學」是研究人類、社會與文化的學科。,"In anthropology class, I learned about simple tools that ancient cultures used.",在人類學課上，我學到古代文化使用的簡單工具。,08_3141.jpg,08_3141.mp3,08_3141_meaning.mp3,08_3141_example.mp3
applaud,əˈplɔːd,鼓掌,To applaud means to clap in order to show approval.,「鼓掌」就是拍手表示贊同。,Everyone cheered and applauded Manny’s efforts.,大家歡呼並為曼尼的努力鼓掌。,08_3142.jpg,08_3142.mp3,08_3142_meaning.mp3,08_3142_example.mp3
appoint,əˈpɔɪnt,任命,To appoint someone to a job means to give the job to them.,「任命」某人就是授予他們職位。,Two students were appointed to help the scientists with their research.,兩名學生被指派協助科學家進行研究。,08_3143.jpg,08_3143.mp3,08_3143_meaning.mp3,08_3143_example.mp3
compatible,kəmˈpætəbl,相容的,"When things are compatible, they work well or exist together successfully.",「相容的」事物能良好共存或運作。,Jan and Fred are too different. They will never be compatible.,珍和弗雷德差異太大，永遠不可能合得來。,08_3144.jpg,08_3144.mp3,08_3144_meaning.mp3,08_3144_example.mp3
competence,ˈkɑːmpɪtəns,能力,Competence is the ability to do something well or effectively.,「能力」就是有效做好某事的本領。,The job was easy because the group had enough competence to do it well.,這份工作很簡單，因為團隊有能力做好。,08_3145.jpg,08_3145.mp3,08_3145_meaning.mp3,08_3145_example.mp3
confer,kənˈfɜːr,商議,To confer with someone means to discuss something with them to make a decision.,「商議」就是與他人討論以做決定。,I will have to confer with my wife before I can purchase a new car.,我得先和太太商量，才能買新車。,08_3146.jpg,08_3146.mp3,08_3146_meaning.mp3,08_3146_example.mp3
consecutive,kənˈsekjətɪv,連續的,"When things are consecutive, they happen one after another without interruption.",「連續的」事情接連發生無間斷。,The king ruled for ten consecutive years.,國王連續統治了十年。,08_3147.jpg,08_3147.mp3,08_3147_meaning.mp3,08_3147_example.mp3
crude,kruːd,粗糙的,"When something is crude, it is not exact or detailed but can still be useful.",「粗略的」事物不精確或詳細但仍可用。,She drew crude hearts on the ground to show how much she loved him.,她在地上畫了粗糙的心形，表示有多愛他。,08_3148.jpg,08_3148.mp3,08_3148_meaning.mp3,08_3148_example.mp3
cube,kjuːb,立方體,A cube is a solid object with six square surfaces that are all the same size.,「立方體」是有六個相同正方形面的立體。,Please get me some ice cubes to put in my soda.,請幫我拿些冰塊加到汽水裡。,08_3149.jpg,08_3149.mp3,08_3149_meaning.mp3,08_3149_example.mp3
feedback,ˈfiːdbæk,回饋,Feedback is comments to a person about how they are doing something.,「回饋」是對某人做事方式的意見。,I asked my boss for feedback on my work.,我請老闆對我的工作給予回饋。,08_3150.jpg,08_3150.mp3,08_3150_meaning.mp3,08_3150_example.mp3
ignorance,ˈɪɡnərəns,無知,Ignorance of something is lack of knowledge about it.,「無知」就是對某事缺乏了解。,"When he failed the test, his ignorance of math was obvious.",他考試不及格，顯然對數學一無所知。,08_3151.jpg,08_3151.mp3,08_3151_meaning.mp3,08_3151_example.mp3
masculine,ˈmæskjəlɪn,男性的,"When something is masculine, it is a quality or thing related to men.",「陽剛的」特質或事物與男性相關。,American football is usually considered a masculine sport.,美式足球通常被視為男性化的運動。,08_3152.jpg,08_3152.mp3,08_3152_meaning.mp3,08_3152_example.mp3
monument,ˈmɑːnjumənt,紀念碑,A monument is a structure that is built to remind people of a person or event.,「紀念碑」是為紀念人物或事件而建的結構。,A large monument was built to honor the brave soldiers.,一座大型紀念碑被建立以紀念英勇的士兵。,08_3153.jpg,08_3153.mp3,08_3153_meaning.mp3,08_3153_example.mp3
muscular,ˈmʌskjələr,肌肉發達的,"When someone is muscular, they are very fit and strong.",「肌肉發達的」人非常健壯有力。,He exercised regularly so that his body could become muscular.,他定期運動，讓身體變得強壯。,08_3154.jpg,08_3154.mp3,08_3154_meaning.mp3,08_3154_example.mp3
posture,ˈpɑːstʃər,姿勢,A person’s posture is the manner in which they stand or sit.,「姿勢」是站立或坐著的方式。,Your back will feel better if you improve your posture.,改善姿勢後，你的背部會感覺更舒服。,08_3155.jpg,08_3155.mp3,08_3155_meaning.mp3,08_3155_example.mp3
situate,ˈsɪtʃueɪt,坐落,To situate something means to place or build it in a certain place.,「設置」某物就是將其放置或建於某處。,The road was situated between the forest and the lake.,那條路位於森林和湖泊之間。,08_3156.jpg,08_3156.mp3,08_3156_meaning.mp3,08_3156_example.mp3
supervise,ˈsuːpərvaɪz,監督,To supervise something means to make sure that it is done correctly.,「監督」就是確保事情正確完成。,Allen supervised the construction workers to ensure everyone’s safety.,艾倫監督建築工人，確保大家的安全。,08_3157.jpg,08_3157.mp3,08_3157_meaning.mp3,08_3157_example.mp3
symmetry,ˈsɪmətri,對稱,Symmetry is the state of having two halves that are exactly the same.,「對稱」是兩半完全相同的狀態。,The artist made sure to use perfect symmetry when painting the butterfly.,藝術家畫蝴蝶時確保使用完美的對稱。,08_3158.jpg,08_3158.mp3,08_3158_meaning.mp3,08_3158_example.mp3
tattoo,tæˈtuː,刺青,A tattoo is a design that is drawn permanently on the skin with needles.,「刺青」是用針永久畫在皮膚上的圖案。,The surfer had tattoos on both his arms.,那位衝浪者雙臂都有刺青。,08_3159.jpg,08_3159.mp3,08_3159_meaning.mp3,08_3159_example.mp3
undergraduate,ˌʌndərˈɡrædʒuət,大學部學生,An undergraduate is a student at a college who is studying for a bachelor’s degree.,「大學生」是攻讀學士學位的學院學生。,She was excited to finish high school and enroll as an undergraduate in the fall.,她很期待高中畢業後，秋天成為大學生。,08_3160.jpg,08_3160.mp3,08_3160_meaning.mp3,08_3160_example.mp3
cater,ˈkeɪtər,迎合,To cater to someone means to provide them with all the things they need or want.,「迎合」某人就是提供他們所需或想要的一切。,"Bill was too sick to get out of bed, so his nurse catered to his needs.",比爾病得太重無法下床，護士悉心照顧他的需求。,09_3161.jpg,09_3161.mp3,09_3161_meaning.mp3,09_3161_example.mp3
considerate,kənˈsɪdərət,體貼的,"When someone is considerate, they pay attention to the needs of others.",「體貼的」人會顧及他人需求。,The considerate boy gave his girlfriend a present to cheer her up when she was sad.,體貼的男孩在女友難過時送她禮物讓她開心。,09_3162.jpg,09_3162.mp3,09_3162_meaning.mp3,09_3162_example.mp3
consumption,kənˈsʌmpʃn,消費,The consumption of food or drink is the act of eating or drinking it.,「消費」食物或飲料就是吃或喝它們。,These apples are too rotten for consumption.,這些蘋果太爛了，不能吃。,09_3163.jpg,09_3163.mp3,09_3163_meaning.mp3,09_3163_example.mp3
criteria,kraitəriə,標準,Criteria are factors on which a person judges or decides something.,「標準」是用來評判或決定某事的因素。,"Before she got the job, she had to meet all the necessary criteria.",她獲得這份工作前，必須符合所有必要條件。,09_3164.jpg,09_3164.mp3,09_3164_meaning.mp3,09_3164_example.mp3
crust,krʌst,外皮,Crust is the tough outer part of a loaf of bread.,「麵包皮」是麵包堅硬的外層。,The little boy never ate the crust of his pizza.,小男孩從不吃披薩的邊 crust。,09_3165.jpg,09_3165.mp3,09_3165_meaning.mp3,09_3165_example.mp3
entitle,ɪnˈtaɪtl,賦予權利,To entitle someone means to give them the right to have or do something.,「賦予權利」就是給予某人擁有或做某事的權利。,His golden ticket entitled him to sit in the front row at the concert.,他的金色門票讓他有權坐在音樂會前排。,09_3166.jpg,09_3166.mp3,09_3166_meaning.mp3,09_3166_example.mp3
escort,ˈeskɔːrt,護送,To escort people means to safely accompany them to a place.,「護送」就是安全陪伴某人到某地。,Her bodyguards escorted her to the movie theater.,她的保鑣護送她到電影院。,09_3167.jpg,09_3167.mp3,09_3167_meaning.mp3,09_3167_example.mp3
external,ɪkˈstɜːrnl,外部的,"When something is external, it is connected to an outer part.",「外部的」事物與外層相關。,"It is warm inside my house, but the external temperature is freezing.",我家裡很暖和，但室外溫度凍死人。,09_3168.jpg,09_3168.mp3,09_3168_meaning.mp3,09_3168_example.mp3
facility,fəˈsɪləti,設施,A facility is a building that exists for a particular purpose.,「設施」是為特定目的建造的建築物。,There are many educational facilities in big cities.,大城市有許多教育設施。,09_3169.jpg,09_3169.mp3,09_3169_meaning.mp3,09_3169_example.mp3
faculty,ˈfæklti,能力,A faculty is a mental or physical ability.,「才能」是心智或身體的能力。,The boy’s mental faculties impressed all of his teachers.,那男孩的智力讓所有老師印象深刻。,09_3170.jpg,09_3170.mp3,09_3170_meaning.mp3,09_3170_example.mp3
heap,hiːp,一堆,A heap of things is a large pile of them.,「一堆」東西就是大量堆積的物品。,"After the building was torn down, all that was left was a heap of bricks.",建築物拆除後，只剩下一堆磚塊。,09_3171.jpg,09_3171.mp3,09_3171_meaning.mp3,09_3171_example.mp3
hemisphere,ˈhemɪsfɪr,半球,A hemisphere is one half of the Earth.,「半球」是地球的一半。,"In the northern hemisphere, the weather is usually warmest in July and August.",北半球通常在七月和八月最熱。,09_3172.jpg,09_3172.mp3,09_3172_meaning.mp3,09_3172_example.mp3
hound,haʊnd,獵犬,A hound is a type of dog that is often used for racing or hunting.,「獵犬」是常用於賽跑或狩獵的狗。,The men took their hounds with them when they went on the hunting trip.,男人們狩獵時帶著獵犬同行。,09_3173.jpg,09_3173.mp3,09_3173_meaning.mp3,09_3173_example.mp3
impersonal,ɪmˈpɜːrsənl,非個人的,"If something is impersonal, it is not friendly and makes people feel unimportant.",「冷漠的」事物不友善且讓人覺得不受重視。,"The boy felt scared on his first day at the big, impersonal high school.",男孩在那所龐大而冷漠的高中第一天感到害怕。,09_3174.jpg,09_3174.mp3,09_3174_meaning.mp3,09_3174_example.mp3
lick,lɪk,舔,"When you lick something, you pass your tongue over it.",「舔」就是用舌頭觸碰某物。,He licked his ice cream before it melted.,他在冰淇淋融化前舔了一口。,09_3175.jpg,09_3175.mp3,09_3175_meaning.mp3,09_3175_example.mp3
ornament,ˈɔːrnəmənt,裝飾品,An ornament is an attractive object that people display in their homes.,「裝飾品」是擺在家中的美觀物品。,The woman kept some colorful ornaments on the shelves.,那位女士在架子上擺放了一些彩色裝飾品。,09_3176.jpg,09_3176.mp3,09_3176_meaning.mp3,09_3176_example.mp3
pedestrian,pəˈdestriən,行人,A pedestrian is a person who is walking on a street.,「行人」是在街上走路的人。,Drivers should be careful when pedestrians are walking around.,駕駛在行人走動時應小心。,09_3177.jpg,09_3177.mp3,09_3177_meaning.mp3,09_3177_example.mp3
sanctuary,ˈsæŋktʃueri,庇護所,A sanctuary is a place where people in danger can go to be safe.,「庇護所」是危險中的人可尋求安全的地方。,The church was made into a sanctuary for homeless people in the winter.,教會在冬天被改造成無家者的庇護所。,09_3178.jpg,09_3178.mp3,09_3178_meaning.mp3,09_3178_example.mp3
spectator,ˈspekteɪtər,觀眾,"A spectator is someone who watches something, for example, a sports event.",「觀眾」是觀看某事（如體育賽事）的人。,There were thousands of spectators at the big game.,那場重要比賽有數千名觀眾。,09_3179.jpg,09_3179.mp3,09_3179_meaning.mp3,09_3179_example.mp3
yell,jel,大喊,"When you yell at someone, you shout at them.",「大喊」就是對人大聲叫。,Someone yelled out his name.,有人喊出他的名字。,09_3180.jpg,09_3180.mp3,09_3180_meaning.mp3,09_3180_example.mp3
accessory,əkˈsesəri,配件,An accessory is a thing that is added to another thing to make it look better.,「配件」是附加在某物上使其更好看的東西。,"The store sold colorful accessories like bags, sunglasses, and makeup.",商店販售色彩繽紛的配件，如包包、太陽眼鏡和化妝品。,10_3181.jpg,10_3181.mp3,10_3181_meaning.mp3,10_3181_example.mp3
acquisition,ˌækwɪˈzɪʃn,取得,An acquisition is something that a person buys or gets in some way.,「取得」是某人購買或以某種方式獲得的東西。,Marty was happy with his new acquisition: a very fast bicycle.,馬蒂對他的新購入品——一輛很快的自行車——感到開心。,10_3182.jpg,10_3182.mp3,10_3182_meaning.mp3,10_3182_example.mp3
cardboard,ˈkɑːrdbɔːrd,紙板,Cardboard is a material made out of stiff paper. It is often used to make boxes.,「紙板」是用硬紙製成的材料，常用來做箱子。,We packed our things into cardboard boxes and moved to our new home.,我們把東西裝進紙箱，搬到新家。,10_3183.jpg,10_3183.mp3,10_3183_meaning.mp3,10_3183_example.mp3
dilemma,daɪˈlemə,困境,A dilemma is a difficult situation in which a choice has to be made.,「兩難」是必須做出選擇的困難處境。,Choosing either the tastier or healthier drink proved to be quite a dilemma.,選擇更好喝或更健康的飲料，成了難題。,10_3184.jpg,10_3184.mp3,10_3184_meaning.mp3,10_3184_example.mp3
elaborate,ɪˈlæbərət,精心製作的,"When something is elaborate, it contains a lot of details.",「精細的」事物包含許多細節。,She gave the teacher an elaborate explanation of her project.,她向老師詳細解釋了自己的專案。,10_3185.jpg,10_3185.mp3,10_3185_meaning.mp3,10_3185_example.mp3
exact,ɪɡˈzækt,精確的,Exact means correct in every detail.,「精確的」就是在每個細節都正確。,I know the exact location of the restaurant you mentioned before.,我知道你之前提到的餐廳的確切位置。,10_3186.jpg,10_3186.mp3,10_3186_meaning.mp3,10_3186_example.mp3
facilitate,fəˈsɪlɪteɪt,促進,To facilitate something is to make it easier.,「促進」某事就是使其更容易。,"To facilitate the meeting, Melissa used a simple computer program.",為了讓會議順利進行，梅莉莎使用了一個簡單的電腦程式。,10_3187.jpg,10_3187.mp3,10_3187_meaning.mp3,10_3187_example.mp3
fleet,fliːt,艦隊,A fleet is a group of ships.,「艦隊」是一群船隻。,The fleet of ships spent a few days at the dock.,船隊在碼頭停留了幾天。,10_3188.jpg,10_3188.mp3,10_3188_meaning.mp3,10_3188_example.mp3
grid,ɡrɪd,網格,A grid is a pattern of squares with numbers and letters to find places on a map.,「方格網」是地圖上用數字與字母標示位置的方格圖案。,We located our town using the grid.,我們利用方格座標找到我們的城鎮。,10_3189.jpg,10_3189.mp3,10_3189_meaning.mp3,10_3189_example.mp3
import,ˈɪmpɔːrt,進口,To import means to bring in a product from another country.,「進口」就是從他國引入產品。,Foods that have been imported are usually more expensive.,進口食品通常比較貴。,10_3190.jpg,10_3190.mp3,10_3190_meaning.mp3,10_3190_example.mp3
infer,ɪnˈfɜːr,推斷,To infer something is to decide it is true based on other information one has.,「推斷」就是根據已有資訊判定某事為真。,"By the position of the sun in the sky, she inferred that it was noon.",她根據太陽在天空的位置推斷出現在是中午。,10_3191.jpg,10_3191.mp3,10_3191_meaning.mp3,10_3191_example.mp3
inflate,ɪnˈfleɪt,充氣,To inflate something means to fill it up with air.,「充氣」就是把空氣打入某物。,I helped him inflate the balloons.,我幫他吹氣球。,10_3192.jpg,10_3192.mp3,10_3192_meaning.mp3,10_3192_example.mp3
innate,ɪˈneɪt,天生的,"When something is innate, it is something that one is born with and was not learned.",「天生的」特質是與生俱來而非後天學習的。,He had the innate desire to please his teachers.,他天生就想討老師歡心。,10_3193.jpg,10_3193.mp3,10_3193_meaning.mp3,10_3193_example.mp3
